Titulo,Free Text
,
Categoria:Data/Século XVIII/c.1800,[[Categoria:Data/Século XVIII]]
,
,
,
Categoria:Data/Século XVIII/Quianlong,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/Quianlong,[[Categoria:Data/Século XVIII]]
,
Categoria:Data/Século XVII\XVIII/Ming,[[Categoria:Data/Século XVII\XVIII]]
,
Categoria:Data/Século XVIII/2a. Metade,[[Categoria:Data/Século XVIII]]
,
,
,
,
,
,
,
Categoria:Data/Século XV/c.1497,[[Categoria:Data/Século XV]]
,
,
Categoria:Data/Século XVII/1658(?),[[Categoria:Data/Século XVII]]
Categoria:Data/Século XVII/1646,[[Categoria:Data/Século XVII]]
Categoria:Data/Século XVII/1658,[[Categoria:Data/Século XVII]]
Categoria:Data/Século XVII/1658,[[Categoria:Data/Século XVII]]
,
,
,
,
,
,
,
,
Categoria:Data/Século XVIII/1a. metade,[[Categoria:Data/Século XVIII]]
,
,
,
,
,
,
,
,
Categoria:Data/Século XVIII/1a. metade,[[Categoria:Data/Século XVIII]]
,
,
,
,
Categoria:Data/Século XVIII/c.1735,[[Categoria:Data/Século XVIII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVIII/2a. metade,[[Categoria:Data/Século XVIII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVIII/QING,[[Categoria:Data/Século XVIII]]
,
Categoria:Data/Século XX/QING,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/QING,[[Categoria:Data/Século XX]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVII/1629,[[Categoria:Data/Século XVII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVIII/c.1710-1720,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XII/Período Kamakura (1185-1333),[[Categoria:Data/Século XII]]
Categoria:Data/Século XII/Período Kamakura (1185-1333),[[Categoria:Data/Século XII]]
Categoria:Data/Século XII/Período Kamakura (1185-1333),[[Categoria:Data/Século XII]]
,
,
,
,
,
,
,
Categoria:Data/Século VIII/Tang,[[Categoria:Data/Século VIII]]
Categoria:Data/Século VIII/Tang,[[Categoria:Data/Século VIII]]
,
Categoria:Data/Século VIII/Tang,[[Categoria:Data/Século VIII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVIII/2a. Metade,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/2a. Metade,[[Categoria:Data/Século XVIII]]
,
,
Categoria:Data/Século VIII/Tang,[[Categoria:Data/Século VIII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVIII(?)/Dinastia Qajars 1794\1925,[[Categoria:Data/Século XVIII(?)]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVIII/1760-1780,[[Categoria:Data/Século XVIII]]
,
Categoria:Data/Século XIX/c.1800,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
Categoria:Data/Século XX/1911,[[Categoria:Data/Século XX]]
,
,
,
Categoria:Data/Século XVII/Ming,[[Categoria:Data/Século XVII]]
,
Categoria:Data/Século XVII/Ming,[[Categoria:Data/Século XVII]]
,
,
,
,
,
,
,
Categoria:Data/Século XIII/Song,[[Categoria:Data/Século XIII]]
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XIV\XVI/MING,[[Categoria:Data/Século XIV\XVI]]
,
,
,
,
Categoria:Data/Século XIX/Após 1870,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVII/c.1610,[[Categoria:Data/Século XVII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XIX/Depois de 1830,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XIX/Depois de 1830,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XVIII/c.1760,[[Categoria:Data/Século XVIII]]
,
Categoria:Data/Século XVIII/c.1770,[[Categoria:Data/Século XVIII]]
,
,
,
Categoria:Data/Século XIX/c.1890,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
,
,
Categoria:Data/Século XVII/1636,[[Categoria:Data/Século XVII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XIX/c.1860,[[Categoria:Data/Século XIX]]
,
,
,
"Categoria:Data/Século XVIII/Período Chien Long, 1736 - 1796",[[Categoria:Data/Século XVIII]]
,
,
,
,
"Categoria:Data/Século XVIII/Período Chien Long, 1736 - 1796",[[Categoria:Data/Século XVIII]]
,
,
,
Categoria:Data/Século XIX/c.1850,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XIX/c.1850,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século II d.C. - X d.C./Clássico Maia,[[Categoria:Data/Século II d.C. - X d.C.]]
Categoria:Data/Século I a.C. - I d.C./Mochica I,[[Categoria:Data/Século I a.C. - I d.C.]]
Categoria:Data/Século I - V d.C./Mochica (III - IV),[[Categoria:Data/Século I - V d.C.]]
,
,
,
,
,
"Categoria:Data/Século XVIII/Período Chien Long, 1736 - 1796",[[Categoria:Data/Século XVIII]]
"Categoria:Data/Século XVIII/Período Kang Hsi, 1662 - 1723",[[Categoria:Data/Século XVIII]]
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XIX/c.1830,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
,
,
Categoria:Data/Século XIX/c.1875,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XIX/c.1820,[[Categoria:Data/Século XIX]]
,
,
,
,
,
Categoria:Data/Século XIX/c.1870,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XX/ c.1930,[[Categoria:Data/Século XX]]
,
,
,
,
,
,
Categoria:Data/Século XVIII/1775,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/1775,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/1775,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/1775,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/1775,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/1775,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XX/Após 1938,[[Categoria:Data/Século XX]]
,
,
Categoria:Data/Século XIX/Após 1870,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XIX/Após 1870,[[Categoria:Data/Século XIX]]
,
Categoria:Data/Século XVIII/1744-1785,[[Categoria:Data/Século XVIII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XX/c.1900 - 1920,[[Categoria:Data/Século XX]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XIX/1845,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XIX/1830-1890,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XIX/1830-1890,[[Categoria:Data/Século XIX]]
,
Categoria:Data/Século XVIII/1774-1790,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/1774-1790,[[Categoria:Data/Século XVIII]]
,
,
,
Categoria:Data/Século XIX/1880-1900,[[Categoria:Data/Século XIX]]
,
Categoria:Data/Século XVIII/1765,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XX/1972,[[Categoria:Data/Século XX]]
,
,
,
Categoria:Data/Século XIX/1828-1830,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XX/1950\1960,[[Categoria:Data/Século XX]]
,
,
Categoria:Data/Século XX/1925-1939,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1960,[[Categoria:Data/Século XX]]
,
Categoria:Data/Século XX/1960,[[Categoria:Data/Século XX]]
Categoria:Data/final do Século XIX/início do Século XX,[[Categoria:Data/final do Século XIX]]
,
Categoria:Data/Século XX/1960,[[Categoria:Data/Século XX]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XIII/Song,[[Categoria:Data/Século XIII]]
,
,
Categoria:Data/Século XIII/Song,[[Categoria:Data/Século XIII]]
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVIII/Quianlong,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/Quianlong,[[Categoria:Data/Século XVIII]]
,
Categoria:Data/Século XV/1400 - 1430,[[Categoria:Data/Século XV]]
,
Categoria:Data/Século XIX/2a. Metade ou começo XX,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XVI/1551,[[Categoria:Data/Século XVI]]
Categoria:Data/Século XVI/c.1540-55,[[Categoria:Data/Século XVI]]
Categoria:Data/Século XVII/Possívelmente 1600-1650 ou posterior.,[[Categoria:Data/Século XVII]]
,
,
,
,
,
Categoria:Data/Século XVIII/Final do periodo Ming (1662 - 1722),[[Categoria:Data/Século XVIII]]
,
,
,
,
,
Categoria:Data/Século XV/Ming,[[Categoria:Data/Século XV]]
,
,
,
,
,
Categoria:Data/Século XVII/Ming,[[Categoria:Data/Século XVII]]
Categoria:Data/Século XVII/Ming,[[Categoria:Data/Século XVII]]
,
,
,
Categoria:Data/Século VII\IX/Tang,[[Categoria:Data/Século VII\IX]]
,
,
Categoria:Data/c.Século XIV a.C. - SHANG/ período ANYANG,[[Categoria:Data/c.Século XIV a.C. - SHANG]]
Categoria:Data/Século XIII\XII a.C./Shang,[[Categoria:Data/Século XIII\XII a.C.]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século VIII/Tang,[[Categoria:Data/Século VIII]]
Categoria:Data/Século VIII/Tang,[[Categoria:Data/Século VIII]]
,
Categoria:Data/Século XVII/Ming,[[Categoria:Data/Século XVII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XVI/Ming,[[Categoria:Data/Século XVI]]
,
Categoria:Data/Século XX/c.1910,[[Categoria:Data/Século XX]]
Categoria:Data/Século XVIII/c.1750-1777,[[Categoria:Data/Século XVIII]]
,
Categoria:Data/Século XX/1948,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1947-1949,[[Categoria:Data/Século XX]]
,
,
,
,
,
,
,
,
Categoria:Data/Século XIX/1850-1900,[[Categoria:Data/Século XIX]]
,
,
,
Categoria:Data/Século XX/c.1920,[[Categoria:Data/Século XX]]
,
Categoria:Data/Século XX/c.1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XIX/c.1900,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XX/ c.1930,[[Categoria:Data/Século XX]]
,
,
,
,
Categoria:Data/Século XX/c.1900,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/c.1930,[[Categoria:Data/Século XX]]
,
,
,
Categoria:Data/Século XIX/1850-1900,[[Categoria:Data/Século XIX]]
,
,
,
Categoria:Data/Século XIX/1850-1900,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XX/1964,[[Categoria:Data/Século XX]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XIX/c.1810,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XVIII/Década de 1760,[[Categoria:Data/Século XVIII]]
,
,
Categoria:Data/Século XV/c.1460,[[Categoria:Data/Século XV]]
Categoria:Data/Século XV/c.1460,[[Categoria:Data/Século XV]]
,
Categoria:Data/Século XVII/c.1650,[[Categoria:Data/Século XVII]]
,
,
Categoria:Data/Século XVII/1640\1650,[[Categoria:Data/Século XVII]]
,
,
,
Categoria:Data/Século XVII/c.1648,[[Categoria:Data/Século XVII]]
,
Categoria:Data/Século XVI/1597,[[Categoria:Data/Século XVI]]
,
Categoria:Data/Século XVII/c.1675,[[Categoria:Data/Século XVII]]
Categoria:Data/Século XVIII/c.1720,[[Categoria:Data/Século XVIII]]
,
Categoria:Data/Século XX/1925,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1957,[[Categoria:Data/Século XX]]
,
Categoria:Data/Século XX/c.1938,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1910,[[Categoria:Data/Século XX]]
Categoria:Data/Século XVII/1677,[[Categoria:Data/Século XVII]]
Categoria:Data/Século XVII/1668,[[Categoria:Data/Século XVII]]
Categoria:Data/Século XX/1940,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1937,[[Categoria:Data/Século XX]]
,
,
Categoria:Data/Século XX/c.1927,[[Categoria:Data/Século XX]]
,
,
Categoria:Data/Século XVIII/c.1750,[[Categoria:Data/Século XVIII]]
,
,
,
,
Categoria:Data/Século XVIII/c.1750,[[Categoria:Data/Século XVIII]]
,
Categoria:Data/Século XIX/1857,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XIX/c.1820,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
,
Categoria:Data/Século XX/c.1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/c.1920,[[Categoria:Data/Século XX]]
,
Categoria:Data/Século XVIII/c.1720,[[Categoria:Data/Século XVIII]]
,
,
,
,
Categoria:Data/Século XVII/1647,[[Categoria:Data/Século XVII]]
,
Categoria:Data/Século XVIII/Período Mugal,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/Período Mugal,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/Período Mugal,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XVIII/Período Mugal,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XX/1949,[[Categoria:Data/Século XX]]
,
Categoria:Data/Século XVIII/Período Mugal,[[Categoria:Data/Século XVIII]]
Categoria:Data/Século XX/1955,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1944,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1941,[[Categoria:Data/Século XX]]
,
,
,
,
Categoria:Data/Século XIX/c.1820-25,[[Categoria:Data/Século XIX]]
,
Categoria:Data/Século XIX/1828,[[Categoria:Data/Século XIX]]
,
Categoria:Data/Século XVIII/c.1790\95,[[Categoria:Data/Século XVIII]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XIX/c.1800,[[Categoria:Data/Século XIX]]
,
,
,
,
,
,
Categoria:Data/Século XX/1901-1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1901-1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1901-1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1901-1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1901-1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1901-1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1901-1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1901-1920,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1934-1940,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1934-1940,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1934-1940,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1934-1940,[[Categoria:Data/Século XX]]
Categoria:Data/Século XX/1934-1940,[[Categoria:Data/Século XX]]
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Categoria:Data/Século XX/1933,[[Categoria:Data/Século XX]]
,
Categoria:Data/Século XX/1948,[[Categoria:Data/Século XX]]
Categoria:Data/Século XIX/c.1844,[[Categoria:Data/Século XIX]]
Categoria:Data/Século XIX/c.1850,[[Categoria:Data/Século XIX]]
,
,
,
,
