"cena campestre (relevo)","M-0001"
"Globo terrestre","M-0002"
"tinteiro","M-0003"
"incensário","M-0004"
"figura masculina com animal","M-0005"
"recipiente","M-0006"
"Recipiente","M-0007"
"guerreiro","M-0008"
"Amazona","M-0009"
"Amazona","M-0010"
"Nossa Senhora Divina Pastora","M-0011"
"São João evangelista","M-0012"
"mesa lateral semi-circular","M-0013"
"mesa de centro","M-0014"
"mesa lateral semi-circular","M-0015"
"Cadeira","M-0016"
"Cadeira","M-0017"
"Mesa-secretária","M-0018"
"a penitência de São Cristóvão","M-0019"
"Peitoral / colar","M-0020"
"Virgem com Menino (madonna da pêra)","M-0021"
"Lieven Van Coppenol","M-0022"
"nu masculino sentado","M-0023"
"Cristo e as mulheres de Samara","M-0024"
"negra deitada","M-0025"
"palma de parede","M-0026"
"Palma de parede","M-0027"
"instrumentos para lareira","M-0028"
" Suporte para lenha - chenet","M-0029"
" Suporte para lenha - chenet","M-0030"
"sofá","M-0031"
"Poltrona","M-0032"
"poltrona","M-0033"
"Virgem com Menino","M-0034"
"São jerônimo","M-0035"
"Anjo em adoração","M-0036"
"Anjo em adoração","M-0037"
"Nossa Senhora da Conceição","M-0038"
"Nossa Senhora da Conceição","M-0039"
"Anjo (?)","M-0040"
"anjo custódio","M-0041"
"vIRGEM COM mENINO","M-0042"
"Nossa Senhora das Dores","M-0043"
"Cabeça de São Francisco de Assis.","M-0044"
"Sant'ana Mestra","M-0045"
"Sant'ana mestra","M-0046"
"sant'ana mestra","M-0047"
"santa Luzia","M-0048"
"Santa (?)","M-0049"
"nossa senhora da assunção","M-0050"
"caixa para faqueiro","M-0051"
"armário","M-0052"
"mesa","M-0053"
"Santa (?)","M-0054"
"mesa de estrado","M-0055"
"travessa ","M-0056"
"travessa","M-0057"
"travessa","M-0058"
"prato","M-0059"
"prato","M-0060"
"lanterna de procissão","M-0061"
"lanterna de procissão","M-0062"
"travessa","M-0063"
"sopeira","M-0064"
"sopeira","M-0065"
"Frontão","M-0066"
"virgem santíssima","M-0067"
"Virgem Santíssima (?) ","M-0068"
"divina pastora","M-0069"
"molheira em forma de peixe com presentoir","M-0070"
"molheira em forma de peixe com presentoir","M-0071"
"sopeira com presentoir","M-0072"
"cadeira","M-0073"
"cadeira","M-0074"
"bandeja","M-0075"
"tocheiro ","M-0076"
"tocheiro","M-0077"
"cadeira de braços","M-0078"
"tocheiro","M-0079"
"remate de sanefa","M-0080"
"remate de sanefa","M-0081"
"incensário","M-0082"
"galo","M-0083"
"bule","M-0084"
"Buda da felicidade","M-0085"
"recipiente","M-0086"
"recipiente","M-0087"
"incensário","M-0088"
"Vaso com flores","M-0089"
"relevo","M-0090"
"relevo","M-0091"
"buda da felicidade com atendente","M-0092"
"recipiente","M-0093"
"Músico","M-0094"
"bule","M-0095"
"bule","M-0096"
"figura masculinacom criança","M-0097"
"incensário","M-0098"
"Vaso com flores","M-0099"
"console","M-0100"
"Console","M-0101"
"banqueta","M-0102"
"banqueta","M-0103"
"jarra","M-0104"
