Titulo,Free Text
cena campestre (relevo),#redirect [[M-0001]] [[Categoria:Acervo por Título]]
Globo terrestre,#redirect [[M-0002]] [[Categoria:Acervo por Título]]
tinteiro,#redirect [[M-0003]] [[Categoria:Acervo por Título]]
incensário,#redirect [[M-0004]] [[Categoria:Acervo por Título]]
figura masculina com animal,#redirect [[M-0005]] [[Categoria:Acervo por Título]]
recipiente,#redirect [[M-0006]] [[Categoria:Acervo por Título]]
Recipiente,#redirect [[M-0007]] [[Categoria:Acervo por Título]]
guerreiro,#redirect [[M-0008]] [[Categoria:Acervo por Título]]
Amazona,#redirect [[M-0009]] [[Categoria:Acervo por Título]]
Amazona,#redirect [[M-0010]] [[Categoria:Acervo por Título]]
Nossa Senhora Divina Pastora,#redirect [[M-0011]] [[Categoria:Acervo por Título]]
São João evangelista,#redirect [[M-0012]] [[Categoria:Acervo por Título]]
mesa lateral semi-circular,#redirect [[M-0013]] [[Categoria:Acervo por Título]]
mesa de centro,#redirect [[M-0014]] [[Categoria:Acervo por Título]]
mesa lateral semi-circular,#redirect [[M-0015]] [[Categoria:Acervo por Título]]
Cadeira,#redirect [[M-0016]] [[Categoria:Acervo por Título]]
Cadeira,#redirect [[M-0017]] [[Categoria:Acervo por Título]]
Mesa-secretária,#redirect [[M-0018]] [[Categoria:Acervo por Título]]
a penitência de São Cristóvão,#redirect [[M-0019]] [[Categoria:Acervo por Título]]
Peitoral / colar,#redirect [[M-0020]] [[Categoria:Acervo por Título]]
Virgem com Menino (madonna da pêra),#redirect [[M-0021]] [[Categoria:Acervo por Título]]
Lieven Van Coppenol,#redirect [[M-0022]] [[Categoria:Acervo por Título]]
nu masculino sentado,#redirect [[M-0023]] [[Categoria:Acervo por Título]]
Cristo e as mulheres de Samara,#redirect [[M-0024]] [[Categoria:Acervo por Título]]
negra deitada,#redirect [[M-0025]] [[Categoria:Acervo por Título]]
palma de parede,#redirect [[M-0026]] [[Categoria:Acervo por Título]]
Palma de parede,#redirect [[M-0027]] [[Categoria:Acervo por Título]]
instrumentos para lareira,#redirect [[M-0028]] [[Categoria:Acervo por Título]]
" Suporte para lenha - chenet",#redirect [[M-0029]] [[Categoria:Acervo por Título]]
" Suporte para lenha - chenet",#redirect [[M-0030]] [[Categoria:Acervo por Título]]
sofá,#redirect [[M-0031]] [[Categoria:Acervo por Título]]
Poltrona,#redirect [[M-0032]] [[Categoria:Acervo por Título]]
poltrona,#redirect [[M-0033]] [[Categoria:Acervo por Título]]
Virgem com Menino,#redirect [[M-0034]] [[Categoria:Acervo por Título]]
São jerônimo,#redirect [[M-0035]] [[Categoria:Acervo por Título]]
Anjo em adoração,#redirect [[M-0036]] [[Categoria:Acervo por Título]]
Anjo em adoração,#redirect [[M-0037]] [[Categoria:Acervo por Título]]
Nossa Senhora da Conceição,#redirect [[M-0038]] [[Categoria:Acervo por Título]]
Nossa Senhora da Conceição,#redirect [[M-0039]] [[Categoria:Acervo por Título]]
Anjo (?),#redirect [[M-0040]] [[Categoria:Acervo por Título]]
anjo custódio,#redirect [[M-0041]] [[Categoria:Acervo por Título]]
vIRGEM COM mENINO,#redirect [[M-0042]] [[Categoria:Acervo por Título]]
Nossa Senhora das Dores,#redirect [[M-0043]] [[Categoria:Acervo por Título]]
Cabeça de São Francisco de Assis.,#redirect [[M-0044]] [[Categoria:Acervo por Título]]
Sant'ana Mestra,#redirect [[M-0045]] [[Categoria:Acervo por Título]]
Sant'ana mestra,#redirect [[M-0046]] [[Categoria:Acervo por Título]]
sant'ana mestra,#redirect [[M-0047]] [[Categoria:Acervo por Título]]
santa Luzia,#redirect [[M-0048]] [[Categoria:Acervo por Título]]
Santa (?),#redirect [[M-0049]] [[Categoria:Acervo por Título]]
nossa senhora da assunção,#redirect [[M-0050]] [[Categoria:Acervo por Título]]
caixa para faqueiro,#redirect [[M-0051]] [[Categoria:Acervo por Título]]
armário,#redirect [[M-0052]] [[Categoria:Acervo por Título]]
mesa,#redirect [[M-0053]] [[Categoria:Acervo por Título]]
Santa (?),#redirect [[M-0054]] [[Categoria:Acervo por Título]]
mesa de estrado,#redirect [[M-0055]] [[Categoria:Acervo por Título]]
"travessa ",#redirect [[M-0056]] [[Categoria:Acervo por Título]]
travessa,#redirect [[M-0057]] [[Categoria:Acervo por Título]]
travessa,#redirect [[M-0058]] [[Categoria:Acervo por Título]]
prato,#redirect [[M-0059]] [[Categoria:Acervo por Título]]
prato,#redirect [[M-0060]] [[Categoria:Acervo por Título]]
lanterna de procissão,#redirect [[M-0061]] [[Categoria:Acervo por Título]]
lanterna de procissão,#redirect [[M-0062]] [[Categoria:Acervo por Título]]
travessa,#redirect [[M-0063]] [[Categoria:Acervo por Título]]
sopeira,#redirect [[M-0064]] [[Categoria:Acervo por Título]]
sopeira,#redirect [[M-0065]] [[Categoria:Acervo por Título]]
Frontão,#redirect [[M-0066]] [[Categoria:Acervo por Título]]
virgem santíssima,#redirect [[M-0067]] [[Categoria:Acervo por Título]]
"Virgem Santíssima (?) ",#redirect [[M-0068]] [[Categoria:Acervo por Título]]
divina pastora,#redirect [[M-0069]] [[Categoria:Acervo por Título]]
molheira em forma de peixe com presentoir,#redirect [[M-0070]] [[Categoria:Acervo por Título]]
molheira em forma de peixe com presentoir,#redirect [[M-0071]] [[Categoria:Acervo por Título]]
sopeira com presentoir,#redirect [[M-0072]] [[Categoria:Acervo por Título]]
cadeira,#redirect [[M-0073]] [[Categoria:Acervo por Título]]
cadeira,#redirect [[M-0074]] [[Categoria:Acervo por Título]]
bandeja,#redirect [[M-0075]] [[Categoria:Acervo por Título]]
"tocheiro ",#redirect [[M-0076]] [[Categoria:Acervo por Título]]
tocheiro,#redirect [[M-0077]] [[Categoria:Acervo por Título]]
cadeira de braços,#redirect [[M-0078]] [[Categoria:Acervo por Título]]
tocheiro,#redirect [[M-0079]] [[Categoria:Acervo por Título]]
