Titulo,Acervo[Nome],Acervo[Autor],Acervo[Data],Acervo[Origem],Acervo[Material],Acervo[Descricao],Acervo[Dimensoes],Acervo[Nucleo],Acervo[Classificacao],Acervo[imagem],Acervo[thumb],Acervo[categorias]
M-0001,[[cena campestre (relevo)]],[[Autor desconhecido]],[[Século XV]],[[Alemanha]],Marfim esculpido.,Sem descrição,"6,0 x 15,5 cm - com moldura: 10,0 x 19,5 x 1,9 ",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura]],Imagem:M0001.jpg,[[Imagem:M0001.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Escultura]]
M-0002,[[Globo terrestre]],[[Autor desconhecido]],[[Século XVIII]]/[[c.1800]],[[Inglaterra]],"Madeira, papel, metal, policromia.",Sem descrição,Dimensões desconhecidas,[[Núcleo desconhecido]],[[Classificação]]/[[Comunicação ]]/[[ Sonora\Visual]],Imagem:M0002.jpg,[[Imagem:M0002.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Inglaterra]][[Categoria:Data/Século XVIII/c.1800]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Comunicação / Sonora\Visual]]
M-0003,[[tinteiro]],[[Autor desconhecido]],[[“barroco”]],[[França]],"Bronze, ormolu e madrepérola.",Estilo Luis XV. Decorado com aves e motivos florais. Com três recipientes fixos para tinta.,"9,8 x 39,7 x 28,8 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Comunicação Escrita]],Imagem:M0003.jpg,[[Imagem:M0003.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Comunicação Escrita]]
M-0004,[[incensário]],[[Autor desconhecido]],[[Século XIX\XX]],[[China]],Cerâmica policromada; jade; madeira.,"Trípode. Formato circular, com três aberturas no interior do recipiente.","40,5 x 29 x 27,5 cm ap.",[[Arte Oriental]],[[Classificação]]/[[Objetos Cerimoniais ]]/[[ Objetos de Culto]],Imagem:M0004.jpg,[[Imagem:M0004.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Objetos Cerimoniais / Objetos de Culto]]
M-0005,[[figura masculina com animal]],[[Autor desconhecido]],[[Século XVIII]],[[China]],Madeira entalhada,"Personagem mítico Liu Hai ","22,2 x 21 x 14,5 cm ap.",[[Arte Oriental]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0005.jpg,[[Imagem:M0005.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0006,[[recipiente]],[[Autor desconhecido]],[[Século XVIII]]/[[Quianlong]],[[China]],Porcelana policromada.,Decorado com dragões e pêssegos da longevidade. Usado para verter água na diluição da tinta para pintura.,"13,2 x 13,4 x 10,0 cm",[[Arte Oriental]],[[Classificação]]/[[Trabalho ]]/[[ Equipamento de artistas\artesãos]],Imagem:M0006.jpg,[[Imagem:M0006.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Século XVIII/Quianlong]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Trabalho / Equipamento de artistas\artesãos]]
M-0007,[[Recipiente]],[[Autor desconhecido]],[[Século XVIII]]/[[Quianlong]],[[China]],"Porcelana policromada. ",Decorado com dragões e pêssegos da longevidade. Usado para verter água na diluição da tinta para pintura.,"13,0 x 13,0 x 10,0 cm",[[Arte Oriental]],[[Classificação]]/[[Trabalho]]/[[  Equipamento de artistas\artesãos]],Imagem:M0007.jpg,[[Imagem:M0007.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Século XVIII/Quianlong]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Trabalho/  Equipamento de artistas\artesãos]]
M-0008,[[guerreiro]],[[Autor desconhecido]],[[Século XX]],[[China]],Cerâmica em três cores.,Sem descrição,"35,0 x 25,0 x 17,5 cm ap.",[[Arte Oriental]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura]],Imagem:M0008.jpg,[[Imagem:M0008.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais / Escultura]]
M-0009,[[Amazona]],[[Autor desconhecido]],[[Século XVII\XVIII]]/[[Ming]],[[China]],Cerâmica em três cores.,Estilo Tang.,"36,7 x 31,3 x 11,0 cm ap.",[[Arte Oriental]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura]],Imagem:M0009.jpg,[[Imagem:M0009.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Século XVII\XVIII/Ming]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais / Escultura]]
M-0010,[[Amazona]],[[Autor desconhecido]],[[Século XX]],[[China]],Cerâmica em três cores.,"Estilo Tang. ","31,4 x 23,3 x 9,3 cm",[[Arte Oriental]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura]],Imagem:M0010.jpg,[[Imagem:M0010.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais / Escultura]]
