M-0001,cena campestre (relevo),,"Século XV",Alemanha,Marfim esculpido.,,"6,0 x 15,5 cm - com moldura: 10,0 x 19,5 x 1,9 ",,Artes Visuais - Escultura,Biblioteca
M-0002,Globo terrestre,,"Século XVIII,c.1800",Inglaterra,"Madeira, papel, metal, policromia.",,,,Comunicação - Sonora\Visual,Biblioteca
M-0003,tinteiro,,“barroco”,França,"Bronze, ormolu e madrepérola.",Estilo Luis XV. Decorado com aves e motivos florais. Com três recipientes fixos para tinta.,"9,8 x 39,7 x 28,8 cm",,Comunicação Escrita,Biblioteca
M-0004,incensário,,"Século XIX\XX",China,Cerâmica policromada; jade; madeira.,"Trípode. Formato circular, com três aberturas no interior do recipiente.","40,5 x 29 x 27,5 cm ap.",Arte Oriental,Objetos Cerimoniais - Objetos de Culto,Biblioteca
M-0005,figura masculina com animal,,"Século XVIII",China,Madeira entalhada,Personagem mítico Liu Hai ,"22,2 x 21 x 14,5 cm ap.",Arte Oriental,Artes Visuais - Escultura Religiosa,Biblioteca
M-0006,recipiente,,"Século XVIII,Quianlong",China,Porcelana policromada.,Decorado com dragões e pêssegos da longevidade. Usado para verter água na diluição da tinta para pintura.,"13,2 x 13,4 x 10,0 cm",Arte Oriental,Trabalho - Equipamento de artistas\artesãos,Biblioteca
M-0007,Recipiente,,"Século XVIII,Quianlong",China,Porcelana policromada. ,Decorado com dragões e pêssegos da longevidade. Usado para verter água na diluição da tinta para pintura.,"13,0 x 13,0 x 10,0 cm",Arte Oriental,Trabalho-  Equipamento de artistas\artesãos,Biblioteca
M-0008,guerreiro,,"Século XX",China,Cerâmica em três cores.,,"35,0 x 25,0 x 17,5 cm ap.",Arte Oriental,Artes Visuais - Escultura,Biblioteca
M-0009,Amazona,,"Século XVII\XVIII,Ming",China,Cerâmica em três cores.,Estilo Tang.,"36,7 x 31,3 x 11,0 cm ap.",Arte Oriental,Artes Visuais - Escultura,Biblioteca
M-0010,Amazona,,"Século XX",China,Cerâmica em três cores.,Estilo Tang. ,"31,4 x 23,3 x 9,3 cm",Arte Oriental,Artes Visuais - Escultura,Biblioteca
M-0011,Nossa Senhora Divina Pastora,Escola Pernambucana,"Século XVIII,2a. Metade","Brasil, Pernambuco","Madeira entalhada, policromada e dourada, metal, cristal transparente.",,"40,2 x 17,3 x 12,5 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Biblioteca
M-0012,São João evangelista,,"Século XVIII",Equador,"Madeira entalhada e policromada, com douramento.",,"21,6 x 12,0 x 10,5 cm",,Artes Visuais - Escultura Religiosa,Biblioteca
M-0013,mesa lateral semi-circular,,"Século XIX",França,"Madeira entalhada, policromada e envernizada, com marchetaria; sobre-tampo de vidro transparente.",Par (M-0015). Estilo Adam.,"108,8 x 40,5 x 83,5 cm ",Mobiliário Europeu,Interiores - Peças de Mobiliário,Biblioteca
M-0014,mesa de centro,,"Século XIX",China,Madeira lacada; relevo em marfim; nácar.,,"86,5 x 54,0 x 31,3 cm",Arte Oriental,Interiores - Peças de Mobiliário,Biblioteca
M-0015,mesa lateral semi-circular,,"Século XIX",França,"Madeira entalhada, policromada e envernizada, com marchetaria; sobre-tampo de vidro transparente.",Par (M-0013). Estilo Adam.,"109,0 x 40,5 x 83,1 cm ",Mobiliário Europeu,Interiores - Peças de Mobiliário,Biblioteca
M-0016,Cadeira,,"Século XIX",França,"Madeira entalhada e policromada, com verniz; assento em tecido bordado com fios de seda.",Par (M-0017).,"46,3 x 50,7 x 97,7 cm",Mobiliário Europeu,Interiores - Peças de Mobiliário,Biblioteca
M-0017,Cadeira,,"Século XIX",França,Madeira entalhada e policromada; assento estofado em tecido bordado com fios de seda.,Par (M-0016).,"45,7 x 50,2 x 98,5 cm",Mobiliário Europeu,Interiores - Peças de Mobiliário,Biblioteca
M-0018,Mesa-secretária,Maître Ébéniste Cramer,"Século XVIII",França,"Madeira limoeiro (citronnier) com marchetaria, metal dourado e couro gravado com tinta dourada.","Bureau plat de dame"". Época e estilo Luis XVI. Com duas gavetas e dois apoios laterais embutidos.","126,2 x 62,2 x 72,9 cm \ aberta: 222,0 x 62,2 x 72,9 cm ",Mobiliário Europeu,Interiores - Peças de Mobiliário,Biblioteca
M-0019,a penitência de São Cristóvão,"Albrecht Dürer","Século XV,c.1497",Alemanha,Gravura em metal,,"18,4 x 15,0 cm; c\ mold: 30,8 x 23,9 x 1,7 cm  ",,Artes Visuais - Gravura,Biblioteca
M-0020,Peitoral \ colar,,?,?,Bronze (?),Corrente formada por pequenas cabeças.,"52,9  cm comprim.",,Objetos Pessoais - Objeto de Adorno,Biblioteca
M-0021,Virgem com Menino (madonna da pÊra),"Jerome Wierix, cópia de Albrecht Dürer","Século XVI",Holanda,Água-forte sobre papel.,,"15,8 x 11,0 cm",,Artes Visuais - Gravura,Biblioteca
M-0022,Lieven Van Coppenol,"Rembrandt van Rijn","Século XVII,1658(?)",Holanda,Água-forte.,,"20,4 x 17,6 cm",,Artes Visuais - Gravura,Biblioteca
M-0023,nu masculino sentado,"Rembrandt van Rijn","Século XVII,1646",Holanda,Água-forte.,,"9,7 x 16,7 cm",,Artes Visuais - Gravura,Biblioteca
M-0024,Cristo e as mulheres de Samara,"Rembrandt van Rijn","Século XVII,1658",Holanda,Água-forte.,,"15,0 x 18,4 cm",,Artes Visuais - Gravura,Biblioteca
M-0025,negra deitada,"Rembrandt van Rijn","Século XVII,1658",Holanda,Água-forte.,,"8,7 x 16,2 cm ",,Artes Visuais - Gravura,Biblioteca
M-0026,palma de parede,,"Século XX(?)",Itália,Madeira entalhada com douramento.,Par (M-0027).,"102,8 x 35,0 x 6,3 cm",,Interiores - Acessórios de Interiores,Biblioteca
M-0027,Palma de parede,,"Século XX(?)",Itália,Madeira entalhada com douramento.,Par (M-0026).,"102,4 x 35,0 x 6,3 cm",,Interiores - Acessórios de Interiores,Biblioteca
M-0028,instrumentos para lareira,,"Século XIX",França,Bronze.,"4 peças: suporte, pá, atiçador e tenaz.","65,5 x 27,6 x 23,4 cm (suporte)",,Interiores - Condicionadores de Temperatura,Biblioteca
M-0029,Suporte para lenha - chenet,,"Século XX",França,Bronze.,Par M-0030. Estilo Luis XVI.,,,Interiores - Condicionadores de Temperatura,Biblioteca
M-0030,Suporte para lenha - chenet,,"Século XX",França,Bronze.,Par M-0029. Estilo Luis XVI.,,,Interiores - Condicionadores de Temperatura,Biblioteca
M-0031,sofá,,"Século XX",Brasil,"Madeira, tecido, plumas",Três lugares.,,Mobiliário Brasileiro,Interiores - Peças de Mobiliário,Biblioteca
M-0032,Poltrona,,"Século XIX",França,Madeira entalhada e envernizada; tecido de veludo.,Par (M-0033).,"67,0 x 75,2 x 87,6 cm",Mobiliário Europeu,Interiores - Peças de Mobiliário,Biblioteca
M-0033,poltrona,,"Século XIX",França,Madeira entalhada e envernizada; tecido de veludo,Par (M-0032).,"68,7 x 79,4 x 86,0 cm",Mobiliário Europeu,Interiores - Peças de Mobiliário,Biblioteca
M-0034,Virgem com Menino,,"Século XVIII,1a. metade",França ou Holanda,Terracota,Estudo (bozzetto) para um monumento.,"27,0 x 12,2 x 9,4 cm",,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0035,São jerônimo,,"Século XVIII",Itália,Terracota policromada e dourada.,,"27,7 x 15,5 x 9,0 cm",,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0036,Anjo em adoração,,"Século XVIII(?)",Brasil,Madeira policromada,Par (M-0037). Peça incompleta: faltam as asas da figura.,"22,8 x 11,0 x 15,0 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0037,Anjo em adoração,,"Século XVIII(?)",Brasil,Madeira policromada.,Par (M-0036). Peça incompleta: faltam as asas da figura.,"22,8 x 11,0 x 15,0 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0038,Nossa Senhora da Conceição,,"Século XVIII(?)",Brasil,Madeira policromada,,,Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0039,Nossa Senhora da Conceição,,"Século XVIII(?)",Brasil,Terracota policromada.,,"19,5 x 8,3 x 6,2 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0040,Anjo (?),,"Século XIX",Brasil,Madeira entalhada e policromada.,Com cálice na mão.,"15,0 x 5,3 x 6,3 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0041,anjo custódio,,"Século XVIII(?)",Brasil,Terracota e baixo-relevo policromado.,Em forma de placa.,"23,3 x 19,0 x 4,4 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0042,Virgem com Menino,,"Século XIX(?)",França(?),Marfim policromado,,"14,8 x 6,3 x 4,9 cm",,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0043,Nossa Senhora das Dores,,"Século XVIII,1a. metade","Brasil, Bahia",Marfim policromado.,,"19,6 x 6,0 x 3,5 cm . Com pedestal: 22,8 h.",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0044,Cabeça de São Francisco de Assis.,,"Século XVIII(?)",Brasil,Madeira entalhada e policromada.,,"14,1 x 11,5 x 15,2 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0045,Sant'ana Mestra,,"Século XVIII",Brasil,Terracota policromada e dourada,,"12,0 x 8,8 x 9,2 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0046,Sant'ana mestra,,"Século XIX",Brasil,"Madeira entalhada, policromada e dourada.",,"31,6 x 16,0 x 11,5 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0047,sant'ana mestra,,"Século XVIII(?)",Brasil,Madeira entalhada e policromada.,,"10,8 x 4,8 x 3,7 cm ap.",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0048,santa Luzia,Menezes (escola pernambucana),"Século XVIII,c.1735","Brasil, Goiânia",Terracota policromada e dourada,,"26,6 x 12,9 x 9,7 cm ap.",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0049,Santa (?),,"Século XVIII(?)",Brasil,"Madeira entalhada, policromada e dourada.",,"10,5 x 4,2 x 3,4 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0050,nossa senhora da assunção,,"Século XVIII","Brasil, Bahia","Madeira entalhada, policromada e dourada.",,"26,7 x 15,3 x 9,2 cm",Arte Brasileira - Século XVIII e XIX,Artes Visuais - Escultura Religiosa,Sala de Jantar
M-0051,caixa para faqueiro,,"Século XVIII",Portugal,Madeira entalhada e envernizada; bronze.,,"56,2 x 49,2 x 29,0 cm",Mobiliário Europeu,Interiores - Peças de Mobiliário,Sala de Jantar
M-0052,armário,,"Século XX",Brasil,Madeira entalhada e policromada,Confeccionado a partir de fragmentos diversos.,"116 ,8 x 49,3 x 186,5 cm ap.",Mobiliário Brasileiro,Interiores - Peças de Mobiliário,Sala de Jantar
M-0053,mesa,,"Século XVIII",Brasil,Madeira entalhada e pintada.,,"85,0 x 44,5 x 49,5 cm",Mobiliário Brasileiro,Interiores - Peças de Mobiliário,Sala de Jantar
M-0054,Santa (?),,"Século XIV",França,Terracota policromada.,,"55,5 x 19,5 x 17,3",,Artes Visuais - Escultura Religiosa,Reserva Técnica 1 (Q. Rosa)
