Titulo,Acervo[Nome],Acervo[Autor],Acervo[Data],Acervo[Origem],Acervo[Material],Acervo[Descricao],Acervo[Dimensoes],Acervo[Nucleo],Acervo[Classificacao],Acervo[imagem],Acervo[thumb],Acervo[categorias]
M-0001,[[Título::cena campestre (relevo)]],[[Autoria de::Autor desconhecido]],[[Datação::Século XV]],[[Origem::Alemanha]],[[Material::Marfim esculpido.]],[[Descrição::Sem descrição]],"[[Dimensões::6,0 x 15,5 cm - com moldura: 10,0 x 19,5 x 1,9 ]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0001.jpg,[[Imagem:M0001.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Alemanha]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Escultura]]
M-0002,[[Título::Globo terrestre]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]]/[[SubDatação::c.1800]],[[Origem::Inglaterra]],"[[Material::Madeira, papel, metal, policromia.]]",[[Descrição::Sem descrição]],[[Dimensões::Dimensões desconhecidas]],[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Comunicação ]]/[[SubClassificação:: Sonora\Visual]],Imagem:M0002.jpg,[[Imagem:M0002.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Inglaterra]][[Categoria:Data/Século XVIII/c.1800]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Comunicação/Sonora\Visual]]
M-0003,[[Título::tinteiro]],[[Autoria de::Autor desconhecido]],[[Datação::“barroco”]],[[Origem::França]],"[[Material::Bronze, ormolu e madrepérola.]]",[[Descrição::Estilo Luis XV. Decorado com aves e motivos florais. Com três recipientes fixos para tinta.]],"[[Dimensões::9,8 x 39,7 x 28,8 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Comunicação Escrita]],Imagem:M0003.jpg,[[Imagem:M0003.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Comunicação Escrita]]
M-0004,[[Título::incensário]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX\XX]],[[Origem::China]],[[Material::Cerâmica policromada; jade; madeira.]],"[[Descrição::Trípode. Formato circular, com três aberturas no interior do recipiente.]]","[[Dimensões::40,5 x 29 x 27,5 cm ap.]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Objetos Cerimoniais ]]/[[SubClassificação:: Objetos de Culto]],Imagem:M0004.jpg,[[Imagem:M0004.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Objetos Cerimoniais/Objetos de Culto]]
M-0005,[[Título::figura masculina com animal]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::China]],[[Material::Madeira entalhada]],[[Descrição::Personagem mítico Liu Hai ]],"[[Dimensões::22,2 x 21 x 14,5 cm ap.]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0005.jpg,[[Imagem:M0005.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0006,[[Título::recipiente]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]]/[[SubDatação::Quianlong]],[[Origem::China]],[[Material::Porcelana policromada.]],[[Descrição::Decorado com dragões e pêssegos da longevidade. Usado para verter água na diluição da tinta para pintura.]],"[[Dimensões::13,2 x 13,4 x 10,0 cm]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Trabalho ]]/[[SubClassificação:: Equipamento de artistas\artesãos]],Imagem:M0006.jpg,[[Imagem:M0006.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Século XVIII/Quianlong]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Trabalho/Equipamento de artistas\artesãos]]
M-0007,[[Título::Recipiente]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]]/[[SubDatação::Quianlong]],[[Origem::China]],[[Material::Porcelana policromada. ]],[[Descrição::Decorado com dragões e pêssegos da longevidade. Usado para verter água na diluição da tinta para pintura.]],"[[Dimensões::13,0 x 13,0 x 10,0 cm]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Trabalho]]/[[SubClassificação::  Equipamento de artistas\artesãos]],Imagem:M0007.jpg,[[Imagem:M0007.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Século XVIII/Quianlong]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Trabalho/Equipamento de artistas\artesãos]]
M-0008,[[Título::guerreiro]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX]],[[Origem::China]],[[Material::Cerâmica em três cores.]],[[Descrição::Sem descrição]],"[[Dimensões::35,0 x 25,0 x 17,5 cm ap.]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0008.jpg,[[Imagem:M0008.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais/Escultura]]
M-0009,[[Título::Amazona]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVII\XVIII]]/[[SubDatação::Ming]],[[Origem::China]],[[Material::Cerâmica em três cores.]],[[Descrição::Estilo Tang.]],"[[Dimensões::36,7 x 31,3 x 11,0 cm ap.]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0009.jpg,[[Imagem:M0009.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Século XVII\XVIII/Ming]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais/Escultura]]
M-0010,[[Título::Amazona]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX]],[[Origem::China]],[[Material::Cerâmica em três cores.]],[[Descrição::Estilo Tang. ]],"[[Dimensões::31,4 x 23,3 x 9,3 cm]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura]],Imagem:M0010.jpg,[[Imagem:M0010.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Artes Visuais/Escultura]]
